number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
136,0.2286839906752746,2026-01-17 12:58:11.469393,2026-01-17 12:58:19.752891,0 days 00:00:08.283498,0.41090369416123235,32,1.4477633214574491e-05,2,COMPLETE
137,0.22045414188207943,2026-01-17 12:58:19.763898,2026-01-17 12:58:28.156626,0 days 00:00:08.392728,0.35781078728349824,32,1.0068060398886683e-05,2,COMPLETE
138,0.31139195666653213,2026-01-17 12:58:28.168119,2026-01-17 12:58:37.041796,0 days 00:00:08.873677,0.35548169635940147,128,1.1798508255748602e-05,2,COMPLETE
139,0.22662482895861003,2026-01-17 12:58:37.055451,2026-01-17 12:58:45.374437,0 days 00:00:08.318986,0.3407759119260111,32,1.3382783191456155e-05,2,COMPLETE
140,0.22039552356719266,2026-01-17 12:58:45.385184,2026-01-17 12:58:53.672365,0 days 00:00:08.287181,0.36329419703980137,32,1.0036032886030177e-05,2,COMPLETE
141,0.22190580370393434,2026-01-17 12:58:53.682920,2026-01-17 12:59:01.885671,0 days 00:00:08.202751,0.3648830942146696,32,1.0862685872137651e-05,2,COMPLETE
142,0.2205295331816349,2026-01-17 12:59:01.897171,2026-01-17 12:59:10.233939,0 days 00:00:08.336768,0.3309665816238131,32,1.010918250763439e-05,2,COMPLETE
143,0.2203693629152798,2026-01-17 12:59:10.244602,2026-01-17 12:59:18.703799,0 days 00:00:08.459197,0.35877179132304376,32,1.0020641515526136e-05,2,COMPLETE
144,0.22369683431986256,2026-01-17 12:59:18.716958,2026-01-17 12:59:27.205571,0 days 00:00:08.488613,0.380985042367712,32,1.1828789216155426e-05,2,COMPLETE
145,0.22235726013805293,2026-01-17 12:59:27.216538,2026-01-17 12:59:35.612996,0 days 00:00:08.396458,0.35335332164855043,32,1.1104548255574152e-05,2,COMPLETE
146,0.22033801925655483,2026-01-17 12:59:35.624771,2026-01-17 12:59:43.970025,0 days 00:00:08.345254,0.10004795614441075,32,1.0000669650688847e-05,2,COMPLETE
147,0.2254850417640159,2026-01-17 12:59:43.981912,2026-01-17 12:59:52.325760,0 days 00:00:08.343848,0.40258289073601194,32,1.2784804909474667e-05,2,COMPLETE
148,0.2203525199328064,2026-01-17 12:59:52.341775,2026-01-17 13:00:00.781702,0 days 00:00:08.439927,0.4910158684295108,32,1.0020644532577936e-05,2,COMPLETE
149,0.22841930881216588,2026-01-17 13:00:00.792578,2026-01-17 13:00:09.123761,0 days 00:00:08.331183,0.33948381223867347,32,1.4338747881100046e-05,2,COMPLETE
150,0.44887651855951716,2026-01-17 13:00:09.134891,2026-01-17 13:00:17.589781,0 days 00:00:08.454890,0.3724170288945543,32,0.0005473649344202923,2,COMPLETE
151,0.22193709140918957,2026-01-17 13:00:17.601560,2026-01-17 13:00:25.891037,0 days 00:00:08.289477,0.156488134482126,32,1.0868337686225857e-05,2,COMPLETE
152,0.22393508207981241,2026-01-17 13:00:25.903017,2026-01-17 13:00:34.157543,0 days 00:00:08.254526,0.24075722804339933,32,1.1947510513831734e-05,2,COMPLETE
153,0.22044776595936763,2026-01-17 13:00:34.168756,2026-01-17 13:00:42.456715,0 days 00:00:08.287959,0.4633172504982489,32,1.0073254062435259e-05,2,COMPLETE
154,0.22228521215788122,2026-01-17 13:00:42.468155,2026-01-17 13:00:50.838256,0 days 00:00:08.370101,0.4817970711007362,32,1.1070806212675159e-05,2,COMPLETE
155,0.2251819229163756,2026-01-17 13:00:50.850302,2026-01-17 13:00:59.215831,0 days 00:00:08.365529,0.49582748211148375,32,1.262743952123906e-05,2,COMPLETE
156,0.22032804314834642,2026-01-17 13:00:59.228378,2026-01-17 13:01:07.549784,0 days 00:00:08.321406,0.4400301813050541,32,1.0004063926925817e-05,2,COMPLETE
