Municipio,Ano,Area
Bonfinopolis_de_Minas,2020,780
Bonfinopolis_de_Minas,2021,700
Bonfinopolis_de_Minas,2022,730
Bonfinopolis_de_Minas,2023,760
Bonfinopolis_de_Minas,2024,760
Borda_da_Mata,2012,750
Borda_da_Mata,2013,750
Borda_da_Mata,2014,1300
Borda_da_Mata,2015,1300
Borda_da_Mata,2016,1500
Borda_da_Mata,2017,607
Borda_da_Mata,2018,610
Borda_da_Mata,2019,610
Borda_da_Mata,2020,550
Borda_da_Mata,2021,480
Borda_da_Mata,2022,420
Borda_da_Mata,2023,420
Borda_da_Mata,2024,400
Botelhos,2012,6300
Botelhos,2013,7000
Botelhos,2014,4690
Botelhos,2015,9000
Botelhos,2016,9000
Botelhos,2017,6300
Botelhos,2018,5810
Botelhos,2019,6000
Botelhos,2020,7396
Botelhos,2021,7050
Botelhos,2022,6990
Botelhos,2023,7595
Botelhos,2024,6875
Botumirim,2012,380
Botumirim,2013,380
Botumirim,2014,320
Botumirim,2015,170
Botumirim,2016,170
Botumirim,2017,14
Botumirim,2018,30
Botumirim,2019,25
Botumirim,2020,25
Botumirim,2021,29
Botumirim,2022,29
Botumirim,2023,32
Botumirim,2024,40
Brazopolis,2012,1260
Brazopolis,2013,1220
Brazopolis,2014,1090
Brazopolis,2015,1040
Brazopolis,2016,1120
Brazopolis,2017,505
Brazopolis,2018,575
Brazopolis,2019,488
Brazopolis,2020,488
Brazopolis,2021,428
Brazopolis,2022,428
Brazopolis,2023,411
Brazopolis,2024,411
Bueno_Brandao,2012,1800
Bueno_Brandao,2013,1800
Bueno_Brandao,2014,1700
Bueno_Brandao,2015,1800
Bueno_Brandao,2016,2000
Bueno_Brandao,2017,2000
Bueno_Brandao,2018,2000
Bueno_Brandao,2019,2000
Bueno_Brandao,2020,2000
Bueno_Brandao,2021,2100
Bueno_Brandao,2022,2040
Bueno_Brandao,2023,2040
Bueno_Brandao,2024,2040
Buritis,2012,293
Buritis,2013,293
Buritis,2014,563
Buritis,2015,520
Buritis,2016,543
Buritis,2017,594
Buritis,2018,300
Buritis,2019,300
Buritis,2020,700
Buritis,2021,887
Buritis,2022,887
Buritis,2023,929
Buritis,2024,929
Buritizeiro,2012,1030
Buritizeiro,2013,1030
Buritizeiro,2014,1030
Buritizeiro,2015,900
Buritizeiro,2016,1030
Buritizeiro,2017,1672
Buritizeiro,2018,1740
Buritizeiro,2019,860
Buritizeiro,2020,1452
Buritizeiro,2021,1170
Buritizeiro,2022,1170
Buritizeiro,2023,1170
Buritizeiro,2024,1170
Cabo_Verde,2012,8090
Cabo_Verde,2013,7700
Cabo_Verde,2014,7570
Cabo_Verde,2015,7060
Cabo_Verde,2016,7550
Cabo_Verde,2017,8060
Cabo_Verde,2018,7980
Cabo_Verde,2019,8244
Cabo_Verde,2020,8444
Cabo_Verde,2021,8450
Cabo_Verde,2022,8860
Cabo_Verde,2023,8560
Cabo_Verde,2024,9100
Cachoeira_de_Minas,2012,1390
Cachoeira_de_Minas,2013,1390
Cachoeira_de_Minas,2014,1450
Cachoeira_de_Minas,2015,1360
Cachoeira_de_Minas,2016,1650
Cachoeira_de_Minas,2017,736
Cachoeira_de_Minas,2018,1145
Cachoeira_de_Minas,2019,1150
Cachoeira_de_Minas,2020,1190
Cachoeira_de_Minas,2021,980
Cachoeira_de_Minas,2022,1050
Cachoeira_de_Minas,2023,980
Cachoeira_de_Minas,2024,1280
Caete,2012,75
Caete,2013,75
Caete,2014,60
Caete,2015,90
Caete,2016,90
Caete,2017,19
Caete,2018,20
Caete,2019,16
Caete,2020,20
Caete,2021,18
Caete,2022,15
Caete,2023,12
Caete,2024,10
Caiana,2012,2800
Caiana,2013,2800
Caiana,2014,2600
Caiana,2015,3410
Caiana,2016,3260
Caiana,2017,3985
Caiana,2018,4010
Caiana,2019,4010
Caiana,2020,4010
Caiana,2021,3700
Caiana,2022,3700
Caiana,2023,3500
Caiana,2024,3500
Cajuri,2012,850
Cajuri,2013,850
Cajuri,2014,800
Cajuri,2015,850
Cajuri,2016,750
Cajuri,2017,750
Cajuri,2018,730
Cajuri,2019,773
Cajuri,2020,730
Cajuri,2021,780
Cajuri,2022,830
Cajuri,2023,850
Cajuri,2024,850
Caldas,2012,650
Caldas,2013,665
Caldas,2014,600
Caldas,2015,625
Caldas,2016,650
Caldas,2017,870
Caldas,2018,1200
Caldas,2019,1200
Caldas,2020,1100
Caldas,2021,1100
Caldas,2022,1050
Caldas,2023,1200
Caldas,2024,1300
Camacho,2012,1355
Camacho,2013,1355
Camacho,2014,1540
Camacho,2015,1958
Camacho,2016,2058
Camacho,2017,1150
Camacho,2018,1250
Camacho,2019,1250
Camacho,2020,1400
Camacho,2021,2120
Camacho,2022,2270
Camacho,2023,2570
Camacho,2024,2710
Cambuquira,2012,5500
Cambuquira,2013,5400
Cambuquira,2014,5300
Cambuquira,2015,5000
Cambuquira,2016,6550
Cambuquira,2017,2420
Cambuquira,2018,2945
Cambuquira,2019,2752
Cambuquira,2020,2752
Cambuquira,2021,2800
Cambuquira,2022,2350
Cambuquira,2023,3000
Cambuquira,2024,3000
Campanha,2012,4525
Campanha,2013,4575
Campanha,2014,4575
Campanha,2015,4600
Campanha,2016,4600
Campanha,2017,4130
Campanha,2018,4150
Campanha,2019,3174
Campanha,2020,4185
Campanha,2021,3036
Campanha,2022,3036
Campanha,2023,3036
Campanha,2024,3336
Campestre,2012,9975
Campestre,2013,10217
Campestre,2014,9430
Campestre,2015,9800
Campestre,2016,9000
Campestre,2017,10000
Campestre,2018,10920
Campestre,2019,12000
Campestre,2020,10384
Campestre,2021,10060
Campestre,2022,11040
Campestre,2023,11245
Campestre,2024,12480
Campo_Belo,2012,3850
Campo_Belo,2013,4350
Campo_Belo,2014,3850
Campo_Belo,2015,4000
Campo_Belo,2016,4000
Campo_Belo,2017,3500
Campo_Belo,2018,2500
Campo_Belo,2019,2500
Campo_Belo,2020,2000
Campo_Belo,2021,2000
Campo_Belo,2022,2250
Campo_Belo,2023,2500
Campo_Belo,2024,2500
Campo_do_Meio,2012,4050
Campo_do_Meio,2013,4050
Campo_do_Meio,2014,3950
Campo_do_Meio,2015,4300
Campo_do_Meio,2016,4400
Campo_do_Meio,2017,4602
Campo_do_Meio,2018,5950
Campo_do_Meio,2019,2928
Campo_do_Meio,2020,3500
Campo_do_Meio,2021,4128
Campo_do_Meio,2022,2890
Campo_do_Meio,2023,2890
Campo_do_Meio,2024,4418
Campos_Altos,2012,9900
Campos_Altos,2013,10100
Campos_Altos,2014,10200
Campos_Altos,2015,10300
Campos_Altos,2016,10670
Campos_Altos,2017,7300
Campos_Altos,2018,9350
Campos_Altos,2019,9371
Campos_Altos,2020,9435
Campos_Altos,2021,8330
Campos_Altos,2022,9470
Campos_Altos,2023,9870
Campos_Altos,2024,10070
Campos_Gerais,2012,17016
Campos_Gerais,2013,17376
Campos_Gerais,2014,17506
Campos_Gerais,2015,10226
Campos_Gerais,2016,15376
Campos_Gerais,2017,15546
Campos_Gerais,2018,17901
Campos_Gerais,2019,16080
Campos_Gerais,2020,22030
Campos_Gerais,2021,17750
Campos_Gerais,2022,16270
Campos_Gerais,2023,20957
Campos_Gerais,2024,19000
Canaa,2012,1915
Canaa,2013,1865
Canaa,2014,1820
Canaa,2015,1380
Canaa,2016,2000
Canaa,2017,2100
Canaa,2018,1800
Canaa,2019,1250
Canaa,2020,1350
Canaa,2021,1000
Canaa,2022,1180
Canaa,2023,1480
Canaa,2024,960
Cana_Verde,2012,1200
Cana_Verde,2013,1200
Cana_Verde,2014,950
Cana_Verde,2015,1000
Cana_Verde,2016,700
Cana_Verde,2017,470
Cana_Verde,2018,660
Cana_Verde,2019,680
Cana_Verde,2020,760
Cana_Verde,2021,450
Cana_Verde,2022,700
Cana_Verde,2023,560
Cana_Verde,2024,620
Candeias,2012,6350
Candeias,2013,6420
Candeias,2014,6350
Candeias,2015,6240
Candeias,2016,6840
Candeias,2017,5800
Candeias,2018,5540
Candeias,2019,5982
Candeias,2020,6033
Candeias,2021,5451
Candeias,2022,5745
Candeias,2023,6210
Candeias,2024,6070
Caparao,2012,3750
Caparao,2013,3750
Caparao,2014,3600
Caparao,2015,5500
Caparao,2016,5530
Caparao,2017,4600
Caparao,2018,4950
Caparao,2019,4950
Caparao,2020,5010
Caparao,2021,5030
Caparao,2022,5150
Caparao,2023,5050
Caparao,2024,5580
Capela_Nova,2012,250
Capela_Nova,2013,250
Capela_Nova,2014,285
Capela_Nova,2015,250
Capela_Nova,2016,335
Capela_Nova,2017,190
Capela_Nova,2018,210
Capela_Nova,2019,240
Capela_Nova,2020,280
Capela_Nova,2021,295
Capela_Nova,2022,305
Capela_Nova,2023,305
Capela_Nova,2024,405
Capelinha,2012,5530
Capelinha,2013,5500
Capelinha,2014,5500
Capelinha,2015,5300
Capelinha,2016,5300
Capelinha,2017,4380
Capelinha,2018,4840
Capelinha,2019,5390
Capelinha,2020,6330
Capelinha,2021,6280
Capelinha,2022,6280
Capelinha,2023,6455
Capelinha,2024,7033
Capetinga,2012,3309
Capetinga,2013,3159
Capetinga,2014,3729
Capetinga,2015,4170
Capetinga,2016,4350
Capetinga,2017,3640
Capetinga,2018,3720
Capetinga,2019,4525
Capetinga,2020,5837
Capetinga,2021,5625
Capetinga,2022,4535
Capetinga,2023,5892
Capetinga,2024,5890
Capitao_Eneas,2012,120
Capitao_Eneas,2013,120
Capitao_Eneas,2014,120
Capitao_Eneas,2015,100
Capitao_Eneas,2016,120
Capitao_Eneas,2017,12
Capitao_Eneas,2018,17
Capitao_Eneas,2019,15
Capitao_Eneas,2020,14
Capitao_Eneas,2021,10
Capitao_Eneas,2022,10
Capitao_Eneas,2023,1
Capitao_Eneas,2024,1
Capitolio,2012,2195
Capitolio,2013,2275
Capitolio,2014,2280
Capitolio,2015,2250
Capitolio,2016,2250
Capitolio,2017,2020
Capitolio,2018,2345
Capitolio,2019,2345
Capitolio,2020,1750
Capitolio,2021,1750
Capitolio,2022,1750
Capitolio,2023,1800
Capitolio,2024,1800
Caputira,2012,4900
Caputira,2013,4900
Caputira,2014,4750
Caputira,2015,4550
Caputira,2016,5050
Caputira,2017,3910
Caputira,2018,4200
Caputira,2019,4500
Caputira,2020,4770
Caputira,2021,4620
Caputira,2022,4520
Caputira,2023,4615
Caputira,2024,4620
Carai,2012,1800
Carai,2013,1200
Carai,2014,1200
Carai,2015,800
Carai,2016,800
Carai,2017,668
Carai,2018,570
Carai,2019,380
Carai,2020,400
Carai,2021,500
Carai,2022,450
Carai,2023,500
Carai,2024,500
Caranaiba,2012,15
Caranaiba,2013,15
Caranaiba,2014,15
Caranaiba,2015,15
Caranaiba,2016,15
Caranaiba,2017,20
Caranaiba,2018,51
Caranaiba,2019,36
Caranaiba,2020,31
Caranaiba,2021,25
Caranaiba,2022,37
Caranaiba,2023,40
Caranaiba,2024,40
Carangola,2012,4160
Carangola,2013,4040
Carangola,2014,3900
Carangola,2015,3570
Carangola,2016,3570
Carangola,2017,4610
Carangola,2018,4700
Carangola,2019,4000
Carangola,2020,4000
Carangola,2021,4100
Carangola,2022,4200
Carangola,2023,4225
Carangola,2024,4225
Caratinga,2012,8300
Caratinga,2013,8300
Caratinga,2014,6280
Caratinga,2015,6355
Caratinga,2016,7000
Caratinga,2017,9200
Caratinga,2018,8480
Caratinga,2019,9045
Caratinga,2020,9045
Caratinga,2021,7050
Caratinga,2022,9040
Caratinga,2023,10000
Caratinga,2024,11930
Careacu,2012,1140
Careacu,2013,1140
Careacu,2014,1138
Careacu,2015,1180
Careacu,2016,770
Careacu,2017,1184
Careacu,2018,1300
Careacu,2019,1100
Careacu,2020,880
Careacu,2021,1170
Careacu,2022,1170
Careacu,2023,1170
Careacu,2024,1180
