municipio,ano,target,cdd_5,cdd_9,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,txx_11,txx_9,wd30_10,wd30_11,wd30_9,cdd_6,tnn_8,prcptot_2,prcptot_11,wd30_2,wd30_3,txx_10,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Bonfinopolis_de_Minas,2016,3.6,14.0,13.0,146.88,129.3216666666667,14.01,12.21,12.82,40.03,40.17,31.0,29.0,28.0,30.0,11.09,102.19,90.44,29.0,30.0,40.63,False,False,True,False
Bonfinopolis_de_Minas,2017,2.0,19.0,14.0,123.12,155.69750000000002,15.36,10.01,12.75,35.16,38.91,28.0,23.0,30.0,25.0,11.09,174.38,159.0,22.0,28.0,39.36,False,False,True,False
Bonfinopolis_de_Minas,2018,2.4,16.0,25.0,154.38,139.60083333333333,11.72,12.26,11.32,34.1,34.72,30.0,20.0,27.0,30.0,10.84,153.81,201.5,22.0,28.0,39.23,False,False,True,False
Bonfinopolis_de_Minas,2019,2.4,16.0,13.0,151.0,109.61,14.84,11.46,10.49,33.41,38.71,27.0,17.0,29.0,17.0,11.61,210.88,238.81,25.0,21.0,38.14,False,False,True,False
Bonfinopolis_de_Minas,2020,3.3,13.0,24.0,130.19,110.44833333333334,10.73,11.44,8.52,39.24,39.03,31.0,28.0,30.0,30.0,12.56,208.56,123.75,22.0,20.0,38.94,False,False,True,False
Bonfinopolis_de_Minas,2021,3.0,20.0,20.0,112.62,114.73333333333332,12.06,11.71,12.17,35.15,39.2,25.0,19.0,29.0,30.0,11.42,123.75,64.62,15.0,27.0,41.38,False,False,True,False
Buritis,2012,3.300341296928328,12.0,13.0,158.69,255.14083333333332,13.7,11.74,12.48,32.16,34.64,11.0,5.0,18.0,20.0,12.31,102.94,114.19,11.0,23.0,34.99,False,False,True,False
Buritis,2013,3.300341296928328,29.0,15.0,178.69,172.1825,13.77,13.39,12.55,35.28,34.89,27.0,8.0,19.0,15.0,12.81,252.06,164.44,17.0,14.0,39.11,False,False,True,False
Buritis,2014,3.0,15.0,22.0,215.94,137.595,11.84,13.12,12.54,34.5,35.59,15.0,18.0,14.0,27.0,12.75,174.38,187.56,18.0,12.0,34.54,False,False,True,False
Buritis,2015,1.919230769230769,9.0,12.0,330.31,168.48333333333332,12.29,11.03,11.09,33.16,35.63,20.0,14.0,25.0,26.0,12.74,173.69,219.94,15.0,17.0,37.89,False,False,True,False
Buritis,2016,3.60036832412523,16.0,25.0,254.69,129.3216666666667,13.29,11.13,11.3,37.62,37.79,30.0,26.0,29.0,30.0,8.57,119.56,157.19,26.0,21.0,38.87,False,False,True,False
Buritis,2017,1.372053872053872,14.0,13.0,192.44,155.69750000000002,16.67,11.84,13.1,32.0,36.02,25.0,12.0,26.0,25.0,11.75,250.62,262.25,9.0,26.0,38.29,False,False,True,False
Buritis,2018,2.4,16.0,26.0,160.12,139.60083333333333,10.97,12.79,11.73,33.17,34.61,30.0,14.0,25.0,30.0,12.08,241.62,222.81,2.0,19.0,38.74,False,False,True,False
Buritis,2019,3.12,16.0,13.0,146.94,109.61,15.34,10.6,11.66,31.94,36.44,23.0,7.0,24.0,30.0,13.52,156.09,212.81,12.0,9.0,36.29,False,False,True,False
Buritis,2020,3.3,17.0,24.0,111.25,110.44833333333334,9.27,11.93,9.61,36.95,37.9,29.0,21.0,29.0,30.0,13.36,231.19,180.31,6.0,5.0,37.36,False,False,True,False
Buritis,2021,3.119503945885006,20.0,22.0,259.31,114.73333333333332,13.05,9.62,9.97,32.61,37.14,18.0,12.0,25.0,30.0,10.61,192.94,63.44,5.0,14.0,39.54,False,False,True,False
Buritizeiro,2012,3.6,12.0,13.0,167.5,255.14083333333332,13.82,12.17,9.9,34.57,37.83,20.0,16.0,27.0,20.0,12.79,111.06,61.94,26.0,25.0,36.6,False,False,True,False
Buritizeiro,2013,3.6,29.0,15.0,220.62,172.1825,9.58,12.77,11.46,35.41,38.9,30.0,20.0,28.0,13.0,11.1,208.12,145.0,27.0,27.0,40.63,False,False,True,False
Buritizeiro,2014,3.6,14.0,22.0,161.19,137.595,11.8,12.99,10.15,38.17,38.63,26.0,26.0,27.0,12.0,8.76,187.81,124.06,28.0,27.0,39.14,False,False,True,False
Buritizeiro,2015,1.92,17.0,9.0,124.88,168.48333333333332,14.65,12.6,11.46,36.92,37.94,27.0,21.0,27.0,27.0,7.86,213.62,300.19,20.0,27.0,40.1,False,False,True,False
Buritizeiro,2016,2.1,10.0,20.0,166.75,129.3216666666667,14.35,11.66,13.04,41.17,40.8,30.0,29.0,29.0,29.0,11.73,144.06,143.12,29.0,29.0,41.57,False,False,True,False
Buritizeiro,2017,1.973684210526316,13.0,26.0,185.75,155.69750000000002,14.85,10.16,10.04,36.01,38.78,28.0,24.0,29.0,25.0,9.02,241.88,204.75,23.0,29.0,39.3,False,False,True,False
