municipio,ano,target,cdd_5,cdd_6,precomediocafe,tnn_5,tnn_6,tnn_7,txx_1,txx_10,txx_12,txx_2,txx_9,wd30_2,prcptot_1,prcptot_11,cdd_8,cdd_9,prcptot_2,wd30_10,prcptot_12,wd30_1,cdd_7,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Bocaiuva,2024,2.098901098901099,31.0,15.0,191.20333333333332,13.73,9.86,9.51,34.47,35.82,35.88,32.3,38.35,11.0,97.44,43.31,19.0,8.0,146.75,30.0,148.56,14.0,31.0,False,False,True,False
Bocaiuva,2025,0.0,12.0,30.0,328.62583333333333,12.77,11.7,9.81,33.86,36.07,33.07,33.23,34.52,21.0,207.75,210.38,31.0,28.0,164.75,21.0,210.75,12.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2012,1.2,11.0,20.0,255.14083333333332,12.26,10.41,9.49,30.15,32.16,29.7,31.08,32.9,5.0,186.88,156.44,31.0,20.0,46.12,4.0,86.12,1.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2013,0.7769230769230769,29.0,13.0,172.1825,11.63,10.18,8.27,31.32,34.34,32.07,30.81,32.82,2.0,217.88,106.38,31.0,19.0,203.75,10.0,152.12,4.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2014,0.7181818181818181,8.0,13.0,137.595,10.33,12.61,9.32,31.95,31.11,31.71,30.75,33.83,5.0,181.25,101.69,31.0,12.0,120.56,3.0,92.12,7.0,29.0,False,False,True,False
Bom_Jesus_do_Amparo,2015,0.9,16.0,21.0,168.48333333333332,13.29,11.2,10.37,33.21,35.1,32.4,31.34,32.8,6.0,181.06,72.5,31.0,10.0,156.88,10.0,256.06,19.0,23.0,False,False,True,False
Bom_Jesus_do_Amparo,2016,1.2,10.0,27.0,129.3216666666667,12.76,10.52,11.59,31.19,35.47,30.58,31.79,34.71,16.0,232.25,54.5,27.0,12.0,106.81,18.0,233.12,3.0,22.0,False,False,True,False
Bom_Jesus_do_Amparo,2017,1.0,12.0,22.0,155.69750000000002,12.23,9.22,7.74,32.19,32.74,31.39,29.54,32.64,0.0,193.31,66.56,9.0,13.0,123.0,7.0,288.62,11.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2018,2.2,12.0,20.0,139.60083333333333,7.65,10.96,7.89,31.89,33.41,30.98,29.25,30.44,0.0,200.81,150.44,13.0,28.0,170.0,9.0,228.62,5.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2019,1.8,27.0,30.0,109.61,13.43,11.67,11.68,32.87,31.98,31.96,33.14,30.01,11.0,145.94,179.88,10.0,14.0,175.75,4.0,98.72,16.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2020,1.5,8.0,30.0,110.44833333333334,8.47,10.13,7.0,33.23,33.75,32.64,32.04,34.67,6.0,218.69,191.0,31.0,16.0,173.94,16.0,316.62,14.0,26.0,False,False,True,False
Bom_Jesus_do_Amparo,2021,1.2,21.0,22.0,114.73333333333332,11.77,10.19,11.57,31.76,36.52,31.41,31.39,35.8,4.0,183.62,38.56,20.0,21.0,101.44,15.0,128.0,10.0,30.0,False,False,True,False
Bom_Jesus_do_Amparo,2022,1.8,15.0,19.0,218.93666666666664,6.4,10.28,8.08,31.84,33.68,30.2,30.05,35.13,2.0,99.38,90.12,28.0,16.0,127.69,5.0,267.0,9.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2023,1.25,28.0,12.0,208.05916666666667,11.1,9.45,11.02,30.14,31.51,31.2,31.12,34.32,6.0,170.56,95.88,12.0,8.0,197.25,6.0,85.06,1.0,18.0,False,False,True,False
Bom_Jesus_do_Amparo,2024,0.75,24.0,14.0,191.20333333333332,13.57,9.88,8.7,32.81,33.72,32.69,31.67,36.92,8.0,88.19,96.5,18.0,11.0,99.12,20.0,101.44,10.0,31.0,False,False,True,False
Bom_Jesus_do_Amparo,2025,0.0,9.0,30.0,328.62583333333333,12.34,11.98,10.75,32.0,35.08,32.67,31.99,33.37,9.0,94.31,120.88,14.0,15.0,93.5,10.0,144.19,8.0,31.0,False,False,True,False
Campo_Belo,2012,1.2,10.0,20.0,255.14083333333332,9.93,5.89,5.73,31.19,34.02,31.2,33.65,33.74,13.0,174.0,110.06,18.0,12.0,85.94,10.0,74.19,6.0,31.0,False,False,True,False
Campo_Belo,2013,0.9,24.0,12.0,172.1825,8.34,9.99,5.24,32.02,35.98,33.67,32.73,34.28,18.0,84.06,47.25,31.0,18.0,53.25,21.0,65.81,10.0,23.0,False,False,True,False
Campo_Belo,2014,0.6298701298701299,15.0,13.0,137.595,8.64,9.81,7.13,33.76,33.51,33.12,33.32,33.56,24.0,177.38,53.75,31.0,7.0,111.56,11.0,47.38,29.0,29.0,False,False,True,False
