number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
108,0.32199248145047993,2025-12-22 21:51:23.184992,2025-12-22 21:51:49.828416,0 days 00:00:26.643424,0.0007891826075799636,COMPLETE
109,0.24574908715290011,2025-12-22 21:51:49.839590,2025-12-22 21:52:16.436587,0 days 00:00:26.596997,0.0007022718174552828,COMPLETE
110,0.3304754955330358,2025-12-22 21:52:16.455364,2025-12-22 21:52:43.113434,0 days 00:00:26.658070,0.0005387691047932342,COMPLETE
111,0.21491512802799687,2025-12-22 21:52:43.124008,2025-12-22 21:53:09.725695,0 days 00:00:26.601687,0.0006882553639338192,COMPLETE
112,0.2852755327523715,2025-12-22 21:53:09.737277,2025-12-22 21:53:36.497102,0 days 00:00:26.759825,0.0009085155617624121,COMPLETE
113,0.3400001801263562,2025-12-22 21:53:36.508466,2025-12-22 21:54:03.345474,0 days 00:00:26.837008,0.0006232284657317117,COMPLETE
114,0.35471584462368905,2025-12-22 21:54:03.356574,2025-12-22 21:54:30.249606,0 days 00:00:26.893032,0.0004846261044726392,COMPLETE
115,0.2683866980796109,2025-12-22 21:54:30.261506,2025-12-22 21:54:57.960021,0 days 00:00:27.698515,0.0008221689027407113,COMPLETE
116,0.2539954904293877,2025-12-22 21:54:57.972627,2025-12-22 21:55:24.429361,0 days 00:00:26.456734,0.0007311412958254756,COMPLETE
117,0.2915792602752871,2025-12-22 21:55:24.439997,2025-12-22 21:55:51.291361,0 days 00:00:26.851364,0.0009242558641964525,COMPLETE
118,0.23567926191184835,2025-12-22 21:55:51.303593,2025-12-22 21:56:18.895999,0 days 00:00:27.592406,0.00066620575963339,COMPLETE
119,0.30665555751210255,2025-12-22 21:56:18.908028,2025-12-22 21:56:46.945619,0 days 00:00:28.037591,0.0005672121273400431,COMPLETE
120,0.22288526685701884,2025-12-22 21:56:46.957217,2025-12-22 21:57:13.419509,0 days 00:00:26.462292,0.0009966502914590932,COMPLETE
121,0.20986335410352677,2025-12-22 21:57:13.431144,2025-12-22 21:57:39.876681,0 days 00:00:26.445537,0.0009912949801404957,COMPLETE
122,0.20468010561325986,2025-12-22 21:57:39.887773,2025-12-22 21:58:06.422051,0 days 00:00:26.534278,0.0009886616659056438,COMPLETE
123,0.2547243804175187,2025-12-22 21:58:06.436609,2025-12-22 21:58:33.275338,0 days 00:00:26.838729,0.0009825531522125964,COMPLETE
124,0.2975050177039605,2025-12-22 21:58:33.286876,2025-12-22 21:59:00.725636,0 days 00:00:27.438760,0.0008415157582789613,COMPLETE
125,0.25346208913926127,2025-12-22 21:59:00.770187,2025-12-22 21:59:28.207676,0 days 00:00:27.437489,0.0009990776317059483,COMPLETE
126,0.2910028517711733,2025-12-22 21:59:28.219258,2025-12-22 21:59:54.853887,0 days 00:00:26.634629,0.0008270614429589995,COMPLETE
127,0.3032973949577831,2025-12-22 21:59:54.865918,2025-12-22 22:00:22.887738,0 days 00:00:28.021820,0.0009034271357172303,COMPLETE
128,0.3018793904830156,2025-12-22 22:00:22.899028,2025-12-22 22:00:49.467905,0 days 00:00:26.568877,0.0007736005152708583,COMPLETE
129,0.3112844063256142,2025-12-22 22:00:49.479286,2025-12-22 22:01:17.290327,0 days 00:00:27.811041,0.0009160698812553438,COMPLETE
130,0.2960479521244069,2025-12-22 22:01:17.305354,2025-12-22 22:01:43.835362,0 days 00:00:26.530008,0.0009997424601928782,COMPLETE
131,0.3286344598935437,2025-12-22 22:01:43.848795,2025-12-22 22:02:10.913488,0 days 00:00:27.064693,0.0007777830473325477,COMPLETE
132,0.3105129145854659,2025-12-22 22:02:10.925626,2025-12-22 22:02:37.996972,0 days 00:00:27.071346,0.0008514698048962635,COMPLETE
133,0.2295519932359195,2025-12-22 22:02:38.007701,2025-12-22 22:03:04.840148,0 days 00:00:26.832447,0.0007125394561185211,COMPLETE
134,0.29116385464779243,2025-12-22 22:03:04.852157,2025-12-22 22:03:32.762633,0 days 00:00:27.910476,0.0009159860919461736,COMPLETE
135,0.27434752672150076,2025-12-22 22:03:32.775248,2025-12-22 22:04:00.085276,0 days 00:00:27.310028,0.0007673904775628795,COMPLETE
136,0.5181715013335315,2025-12-22 22:04:00.102122,2025-12-22 22:04:28.171166,0 days 00:00:28.069044,2.6659937986709043e-05,COMPLETE
137,0.3353751230095299,2025-12-22 22:04:28.183590,2025-12-22 22:04:54.787819,0 days 00:00:26.604229,0.0006251032610752969,COMPLETE
138,0.7081173626082317,2025-12-22 22:04:54.799252,2025-12-22 22:05:22.191105,0 days 00:00:27.391853,0.00013120342113074726,COMPLETE
139,0.2882181133762802,2025-12-22 22:05:22.203906,2025-12-22 22:05:49.155171,0 days 00:00:26.951265,0.0008429473424177334,COMPLETE
140,0.23803416447300663,2025-12-22 22:05:49.170879,2025-12-22 22:06:15.920843,0 days 00:00:26.749964,0.0007132927453688359,COMPLETE
141,0.2184697594999896,2025-12-22 22:06:15.931819,2025-12-22 22:06:43.240429,0 days 00:00:27.308610,0.0006648309638317391,COMPLETE
142,0.2799099332807335,2025-12-22 22:06:43.251915,2025-12-22 22:07:10.653164,0 days 00:00:27.401249,0.000909567320442127,COMPLETE
143,0.2279004395761083,2025-12-22 22:07:10.664623,2025-12-22 22:07:37.317109,0 days 00:00:26.652486,0.0009960330999041014,COMPLETE
144,0.3381312534282011,2025-12-22 22:07:37.328174,2025-12-22 22:08:04.653353,0 days 00:00:27.325179,0.0005909104588615608,COMPLETE
145,0.32042052048122244,2025-12-22 22:08:04.665439,2025-12-22 22:08:31.451902,0 days 00:00:26.786463,0.0007833018038930435,COMPLETE
146,0.2338085962984591,2025-12-22 22:08:31.463282,2025-12-22 22:08:58.454133,0 days 00:00:26.990851,0.0006752078898291474,COMPLETE
147,0.26644668605121674,2025-12-22 22:08:58.470452,2025-12-22 22:09:25.247328,0 days 00:00:26.776876,0.0008325667599027053,COMPLETE
148,0.23791845057735977,2025-12-22 22:09:25.266576,2025-12-22 22:09:52.149185,0 days 00:00:26.882609,0.0007264462362770325,COMPLETE
149,0.32491815467551655,2025-12-22 22:09:52.165125,2025-12-22 22:10:19.235623,0 days 00:00:27.070498,0.0005401709045329522,COMPLETE
